symbol,name,reportDate,fiscalDateEnding,estimate,currency
ALX,Alexander`s Inc,2022-10-31,2022-09-30,,USD
ALXO,Alx Oncology Holdings Inc,2022-11-17,2022-09-30,-0.807,USD
ALXXF,ALXXF,2022-11-28,2022-09-30,,USD
ALYA,Alithya Group Inc - Class A - Class A (Sub Voting),2022-11-10,2022-09-30,-0.0131,CAD
ALYE,ALYE,2022-11-30,2022-09-30,0,USD
ALZN,Alzamend Neuro Inc,2022-12-28,2022-10-31,-0.06,USD
AMADY,AMADY,2022-11-04,2022-09-30,0.4141,EUR
AMAL,Amalgamated Financial Corp,2023-01-26,2022-12-31,0.7267,USD
AMAM,Ambrx Biopharma Inc,2022-11-30,2022-09-30,-0.11,USD
AMAT,Applied Materials Inc,2022-11-17,2022-10-31,2.01,USD
AMBA,Ambarella Inc,2022-12-01,2022-10-31,0.1974,USD
AMBC,AMBAC Financial Group Inc,2022-11-09,2022-09-30,-0.745,USD
AMBK,AMBK,2023-01-18,2022-12-31,0,USD
AMBO,Ambow Education Holding Ltd,2022-12-13,2022-09-30,,CNY
AMBS,AMBS,2022-11-21,2022-09-30,0,USD
AMBZ,AMBZ,2023-01-26,2022-12-31,,USD
AMC,AMC Entertainment Holdings Inc - Class A,2022-11-07,2022-09-30,-0.1356,USD
AMCF,AMCF,2022-11-18,2022-09-30,0,USD
AMCR,Amcor Plc,2022-11-10,2022-09-30,0.1795,USD
AMCX,AMC Networks Inc - Class A,2022-11-03,2022-09-30,1.8,USD
AMD,Advanced Micro Devices Inc,2022-11-01,2022-09-30,0.7955,USD
AME,Ametek Inc,2022-11-03,2022-09-30,1.38,USD
AMED,Amedisys Inc,2022-11-01,2022-09-30,1.22,USD
AMEH,Apollo Medical Holdings Inc,2022-11-03,2022-09-30,0.437,USD
AMEN,AMEN,2022-12-05,2022-09-30,,USD
AMG,Affiliated Managers Group Inc,2022-10-31,2022-09-30,4,USD
AMGN,AMGEN Inc,2022-11-03,2022-09-30,4.45,USD
AMH,American Homes 4 Rent - Class A,2022-11-03,2022-09-30,0.1106,USD
AMHG,AMHG,2022-11-22,2022-09-30,,USD
AMIGY,AMIGY,2022-11-07,2022-09-30,0,USD
